"Rank","Song","Artist","Year","Lyrics","Source"
"92","really really","kevin gates","2016","diamonds really diamonds and im shining bright cause im really grindin they ask me if im real i say is you serious my daughter gon love this bitch here all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really make em believe i made em believe a lyrical song writer and he can sing bringing in money like raking in leaves i was just trying to get paper to sneeze achoo that was a blessing she special to you i dont look at her special actually i treat her regular not being seen we not making no spectacle gates had her first then he gave her to kevin all the above we do all the et cetera scared of the feds had to switch up my cellular he talking reckless dont call me back ever passing thru gardere to holler at glover shout out to black shout out to cedric grey monte carlo cocaine 911 just hollered at trav im like the reverend my section ridiculous watch where you steppin pockets on indigent cant be too careful steve like em tall and when they yellow working in college fresh with low mileage i like em black pretty white teeth body unique booty on fleek jhen� aiko chewing her cheeks groceries please you know that was me all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really diving be treacherous swim pray to god that dont nobody mess with us him keep it strong in case anyone testing us right or wrong if its this you dont mess with it when yo bitch over here i dont mess with her no detective work i dont be questioning where she been trying to read all of her messages i dont speak on no man thats irregular take her phone disconnectin her cellular what you need that for undressin her what you need that for caressin her spreading her legs bout to pleasure her pulling her hair from the back go to pressin her trying to see who tap first made a bet with her relationship flaking no eczema she catching feelings she say we inseparable oyster perpetual its not a replica mustang gt in the streets smoking vegetables trunk in the front do it make me a elephant i really really put syrup in my beverages shopping in beverly check out my etiquette loving my swag women tailor keep checking it carats they glisten in all of my necklaces feeling myself really thought it was evident all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really","1"
"93","all in my head flex","fifth harmony featuring fetty wap","2016","feat fetty wap produced by bryan garcia stargate chorus dinah flex time to impress come and climb in my bed dont be shy do your thing its all in my head verse 1 fetty wap i wanna flex with you baby im tryna chill with you throwing bands at you while we flexing boo baby show me different moves and i love your groove cause its meant to be baby ay make history baby and you the one for me and im the one for you so come flex with me baby verse 2 ally curtains like waves closing in all around us dimming the lights just so that they dont blind us so tongue in cheek when were laying on roses but youre touching my skin and youre leaving me hopeless prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah verse 3 camila curtains like waves closing in all around us yeah yeah yeah dimming the lights just so that they dont blind us ha nah nah so tongue in cheek when were laying on roses but youre touching my skin and youre leaving me hopeless prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah verse 4 fetty wap i want you to come flex with me baby you got what i want and i need it say youre a bad motherfucker and im sayin they cant play with us and you know it i take a hundred thousand and blow it ay another hundred thou and i love her ay come flex with zoo til its over ay come flex with zoo til its over yeah babe prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah outro fetty wap normani dinah i wanna flex with you baby hey its all in my head zoovier baby its all in my head i wanna flex with you baby its all in my head baby its all in my head","1"
"94","starving","hailee steinfeld and grey featuring zedd","2016","you know just what to say shit that scares me i should just walk away but i cant move my feet the more that i know you the more i want to something inside mes changed i was so much younger yesterday oh i didnt know that i was starving til i tasted you dont need no butterflies when you give me the whole damn zoo by the way by the way you do things to my body i didnt know that i was starving til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you you know just how to make my heart beat faster emotional earthquake bring on disaster you hit me head on got me weak in my knees yeah something inside mes changed i was so much younger yesterday aye so much younger yesterday oh yeah i didnt know that i was starving til i tasted you dont need no butterflies when you give me the whole damn zoo by the way by the way you do things to my body i didnt know that i was starving til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you you yeah til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you the more that i know you the more i want to something inside mes changed i was so much younger yesterday","1"
"95","adventure of a lifetime","coldplay","2016","turn your magic on umi shed say everything you wants a dream away and we are legends every day thats what she told me turn your magic on to me shed say everything you wants a dream away under this pressure under this weight we are diamonds now i feel my heart beating i feel my heart underneath my skin and i feel my heart beating oh you make me feel like im alive again alive again oh you make me feel like im alive again said i cant go on not in this way im a dream that died by light of day gonna hold up half the sky and say only i own me and i feel my heart beating i feel my heart underneath my skin oh i can feel my heart beating cause you make me feel like im alive again alive again oh you make me feel like im alive again turn your magic on umi shed say everything you wants a dream away under this pressure under this weight we are diamonds taking shape we are diamonds taking shape if weve only got this life this adventure oh then i and if weve only got this life you get me through and if weve only got this life in this adventure oh then i want to share it with you with you with you yeah i do woohoo woohoo woohoo","1"
"96","humble and kind","tim mcgraw","2016","you know theres a light that glows by the front door dont forget the keys under the mat childhood stars shine always stay humble and kind go to church cause your mama says to visit grandpa every chance that you can it wont be a waste of time always stay humble and kind hold the door say please say thank you dont steal dont cheat and dont lie i know you got moutains to climb but always stay humble and kind when the dreams youre dreamin come to you when the work you put in is realized let yourself feel the pride but always stay humble and kind dont expect a free ride from no one dont hold a grudge or a chip and heres why bitterness keeps you from flying always stay humble and kind know the difference between sleeping with someone and sleeping with someone you love i love you aint no pick up line so always stay humble and kind hold the door say please say thank you dont steal dont cheat and dont lie i know you got mountains to climb but always stay humble and kind when those dreams youre dreamin come to you when the work you put in is realized let yourself feel the pride but always stay humble and kind when its hot eat a root beer popsicle shut off the ac and roll the windows down let that summer sun shine always stay humble and kind dont take for granted the love this life gives you when you get where youre goin dont forget turn back around help the next one in line always stay humble and kind","1"
"97","wicked","future","2016","wicked tunes you know what im sayin wassup wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked stand up in the motor bust the dashboard stand up in the motor bust the dashboard hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked candles burning money burning graveyard these niggas phantom parkin big dawg barkin hey blood tales on me ohohohoh shawty want that wig ohohohoh im drippin cartier ohohohoh put a gold bird on you thats whats happening i put that lingo on her she was spanish i fill a one liter up with xannies this continental and its panoramic its complimentary to the savages you fuck around with me it be a tragedy i want green green green all asparagus i drink lean lean lean it aint embarassing wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked woah wicked wicked wicked wicked wicked now she going now that bitch going i purchase avion and now she lit huh wedding band rings on me lit huh married to the game im the shit huh woah woah woah woah bitch we made men we aint pullin up in cribs that we cant get you cant pull a bitch on instagram i aint hit huh and then she tellin lies about me cause she aint shit uh she want that bigbig dog status i was in the alley with them nickel bags tallyin now im taliban gang status thats whats happenin and you niggas cant get close cause you dont know me it aint no more dip and dabbin hangin low key these bitches see me and they panic i cant believe it i was on the corner gamblin wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked stand up in the motor bust the dashboard stand up in the motor bust the dashboard wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked","1"
"98","tiimmy turner","desiigner","2016","tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy tiimmy tiimmy turner young boy walkin wishin for a burner four five six ten ratchets on em ten niggas with em ten clappin on em dead niggas with em dead niggas get em fourfive rip em fourfive zip em you talk money young niggas get em young niggas get em beluga beluga beluga i fell in love with the ruger i fell in love with my jeweler i fell in love with the mulah banana clips is going through ya its all about the rule its all about the move its all about the rules tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy tiimmy turner eh yeah he wish had a burner young nigga move and he kill with confirma you get hit nigga left with earner choppa move nigga both want it you get hit down in both summers i got niggas rollin dat would be dead with it choppa move nigga roll him with it you choke down roll load and get hit a nigga up reload the semi gotta flow over demon thinking all about tiimmy just the thought of them with me all my killas said they with me tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner","1"
"99","see you again","wiz khalifa featuring charlie puth","2016","its been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you again damn who knew all the planes we flew good things weve been through that ill be standing right here talking to you bout another path i know we loved to hit the road and laugh but something told me that it wouldnt last had to switch up look at things different see the bigger picture those were the days hard work forever pays now i see you in a better place uh how could we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride its been a long day without you my friend and ill tell you all about it when i see you again i see you again weve come a long way yeah we came a long way from where we began you know we started oh ill tell you all about it when i see you again let me tell you when i see you again aah oh aah oh woooohohohohohoh yeah first you both go out your way and the vibe is feeling strong and whats small turn to a friendship a friendship turn to a bond and that bond will never be broken and the love will never get lost and the love will never get lost and when brotherhood come first then the line will never be crossed established it on our own when that line had to be drawn and that line is what we reach so remember me when im gone remember me when im gone how could we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride so let the light guide your way yeah hold every memory as you go and every road you take will always lead you home home its been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you again aah oh uh aah oh yeah woooohohohohohoh ya ya when i see you again uh see you again woooohohohohohoh yeah yeah uhhuh when i see you again","1"
"100","perfect","one direction","2016","i might never be your knight in shining armour i might never be the one you take home to mother and i might never be the one who brings you flowers but i can be the one be the one tonight when i first saw you from across the room i could tell that you were curious oh yeah girl i hope youre sure what youre looking for cause im not good at making promises but if you like causing trouble up in hotel rooms and if you like having secret little rendezvous if you like to do the things you know that we shouldnt do then baby im perfect baby im perfect for you and if you like midnight driving with the windows down and if you like going places we cant even pronounce if you like to do whatever youve been dreaming about then baby youre perfect baby youre perfect so lets start right now i might never be the hands you put your heart in or the arms that hold you any time you want them but that dont mean that we cant live here in the moment cause i can be the one you love from time to time when i first saw you from across the room i could tell that you were curious oh yeah girl i hope youre sure what youre looking for cause im not good at making promises but if you like causing trouble up in hotel rooms and if you like having secret little rendezvous if you like to do the things you know that we shouldnt do then baby im perfect baby im perfect for you and if you like midnight driving with the windows down and if you like going places we cant even pronounce if you like to do whatever youve been dreaming about then baby youre perfect baby youre perfect so lets start right now and if you like cameras flashing every time we go out oh yeah and if youre looking for someone to write your breakup songs about baby im perfect baby were perfect if you like causing trouble up in hotel rooms and if you like having secret little rendezvous if you like to do the things you know that we shouldnt do then baby im perfect baby im perfect for you and if you like midnight driving with the windows down and if you like going places we cant even pronounce if you like to do whatever youve been dreaming about then baby youre perfect baby youre perfect so lets start right now","1"
"1","shape of you","ed sheeran","2017","the club isnt the best place to find a lover so the bar is where i go me and my friends at the table doing shots drinking faster and then we talk slow come over and start up a conversation with just me and trust me ill give it a chance now take my hand stop put van the man on the jukebox and then we start to dance and now im singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body and last night you were in my room and now my bedsheets smell like you every day discovering something brand new im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body every day discovering something brand new im in love with the shape of you one week in we let the story begin were going out on our first date you and me are thrifty so go all you can eat fill up your bag and i fill up a plate we talk for hours and hours about the sweet and the sour and how your family is doing okay leave and get in a taxi then kiss in the backseat tell the driver make the radio play and im singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body and last night you were in my room and now my bedsheets smell like you every day discovering something brand new im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body every day discovering something brand new im in love with the shape of you come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body last night you were in my room and now my bedsheets smell like you every day discovering something brand new im in love with your body come on be my baby come on come on be my baby come on im in love with your body come on be my baby come on come on be my baby come on im in love with your body come on be my baby come on come on be my baby come on im in love with your body every day discovering something brand new im in love with the shape of you","1"
"2","despacito","luis fonsi and daddy yankee featuring justin bieber","2017","come on over in my direction so thankful for that its such a blessin yeah turn every situation into heaven yeah oh you are my sunrise on the darkest day got me feelin some kind of way make me wanna savor every moment slowlyslowly you fit me tailormade love how you put it on got the only key know how to turn it on the way you nibble on my ear the only words i wanna hear baby take it slow so we can last long oh t� t� eres el im�n y yo soy el metal me voy acercando y voy armando el plan s�lo con pensarlo se acelera el pulso oh yeah ya ya me est� gustando m�s de lo normal todos mis sentidos van pidiendo m�s esto hay que tomarlo sin ning�n apuro despacito quiero respirar tu cuello despacito deja que te diga cosas al o�do para que te acuerdes si no est�s conmigo despacito quiero desnudarte a besos despacito firmo en las paredes de tu laberinto y hacer de tu cuerpo todo un manuscritosube sube sube sube sube quiero ver bailar tu pelo quiero ser tu ritmo que le ense�es a mi boca tus lugares favoritosfavorito favorito baby d�jame sobrepasar tus zonas de peligro hasta provocar tus gritos y que olvides tu apellido si te pido un beso ven d�melo yo s� que est�s pens�ndolo llevo tiempo intent�ndolo mami esto es dando y d�ndolo sabes que tu coraz�n conmigo te hace bangbang sabes que esa beba est� buscando de mi bangbang ven prueba de mi boca para ver c�mo te sabe quiero quiero quiero ver cu�nto amor a ti te cabe yo no tengo prisa yo me quiero dar el viaje empecemos lento despu�s salvaje pasito a pasito suave suavecito nos vamos pegando poquito a poquito cuando t� me besas con esa destreza veo que eres malicia con delicadeza pasito a pasito suave suavecito nos vamos pegando poquito a poquito y es que esa belleza es un rompecabezas pero pa montarlo aqu� tengo la pieza oye despacito quiero respirar tu cuello despacito deja que te diga cosas al o�do para que te acuerdes si no est�s conmigo despacito quiero desnudarte a besos despacito firmo en las paredes de tu laberinto y hacer de tu cuerpo todo un manuscritosube sube sube sube sube quiero ver bailar tu pelo quiero ser tu ritmo que le ense�es a mi boca tus lugares favoritosfavorito favorito baby d�jame sobrepasar tus zonas de peligro hasta provocar tus gritos y que olvides tu apellido despacito this is how we do it down in puerto rico i just wanna hear you screaming ay bendito i can move foreverm se quede contigo bailalo pasito a pasito suave suavecito nos vamos pegando poquito a poquito que le ense�es a mi boca tus lugares favoritosfavorito favorito baby pasito a pasito suave suavecito nos vamos pegando poquito a poquito hasta provocar tus gritos fonsi y que olvides tu apellido dy despacito","1"
"3","thats what i like","bruno mars","2017"," i got a condo in manhattan baby girl whats hatnin you and your ass invited so gon and get to clappin so pop it for a pimp pop pop it for me turn around and drop it for a pimp drop drop it for me ill rent a beach house in miami wake up with no jammies lobster tail for dinner julio serve that scampi you got it if you want it got got it if you want it said you got it if you want it take my wallet if you want it now jump in the cadillac girl lets put some miles on it anything you want just to put a smile on it you deserve it baby you deserve it all and im gonna give it to you gold jewelry shining so bright strawberry champagne on ice lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like sex by the fire at night silk sheets and diamonds all white lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like im talkin trips to puerto rico say the word and we go you can be my freaka girl ill be on fleek ah mamacita i will never make a promise that i cant keep i promise that youll smile and gon never leave shopping sprees in paris everything 24 carats take a look in that mirror now tell me whos the fairest is it you is it you is it me is it me say its us say its us and ill agree baby jump in the cadillac girl lets put some miles on it anything you want just to put a smile on it you deserve it baby you deserve it all and im gonna give it to you gold jewelry shining so bright strawberry champagne on ice lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like sex by the fire at night silk sheets and diamonds all white lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like if you say you want a good time well here i am baby here i am baby talk to me talk to me talk to me tell me whats on your mind if you want it girl come and get it all this is here for you tell me baby tell me tell me baby what you tryna do gold jewelry shining so bright strawberry champagne on ice lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like sex by the fire at night silk sheets and diamonds all white lucky for you thats what i like thats what i like lucky for you thats what i like thats what i like","2"
"4","humble","kendrick lamar","2017","wicked or weakness you gotta see this waaaaay yeah yeah nobody pray for me if youre not there for me waaaaay yeah yeah ayy i remember syrup sandwiches and crime allowances finesse a nigga with some counterfeits but now im countin this parmesan where my accountant lives in fact im downin this duss� with my boo bae tastes like koolaid for the analysts girl i can buy yo ass the world with my paystub ooh that pussy good wont you sit it on my taste bloods i get way too petty once you let me do the extras pull up on your block then break it down we playin tetris am to the pm pm to the am funk piss out your per diem you just gotta hate em funk if i quit your bm i still ride mercedes funk if i quit this season i still be the greatest funk my left stroke just went viral right stroke put lil baby in a spiral soprano c we like to keep it on a high note its levels to it you and i know bitch be humble hol up bitch sit down hol up lil bitch hol up lil bitch be humble hol up bitch sit down sit down hol up lil bitch be humble bitch hol up hol up hol up hol up bitch sit down lil bitch hol up lil bitch be humble hol up bitch sit down hol up hol up hol up hol up be humble hol up hol up hol up hol up lil bitch sit down hol up lil bitch be humble hol up bitch sit down hol up sit down lil bitch sit down lil bitch be humble hol up hol up hol up hol up lil bitch bitch sit down hol up bitch be humble hol up bitch sit down hol up hol up hol up hol up who dat nigga thinkin that he frontin on manman manman get the fuck off my stage im the sandman sandman get the fuck off my dick that aint right i make a play fuckin up your whole life im so fuckin sick and tired of the photoshop show me somethin natural like afro on richard pryor show me somethin natural like ass with some stretch marks still will take you down right on your mamas couch in polo socks ayy this shit way too crazy ayy you do not amaze me ayy i blew cool from ac ayy obama just paged me ayy i dont fabricate it ayy most of yall be fakin ayy i stay modest bout it ayy she elaborate it ayy this that grey poupon that evian that ted talk ayy watch my soul speak you let the meds talk ayy if i kill a nigga it wont be the alcohol ayy im the realest nigga after all bitch be humble hol up bitch sit down hol up lil bitch hol up lil bitch be humble hol up bitch sit down sit down hol up lil bitch be humble bitch hol up hol up hol up hol up bitch sit down lil bitch hol up lil bitch be humble hol up bitch sit down hol up hol up hol up hol up be humble hol up hol up hol up hol up lil bitch sit down hol up lil bitch be humble hol up bitch sit down hol up sit down lil bitch sit down lil bitch be humble hol up hol up hol up hol up lil bitch bitch sit down hol up bitch be humble hol up bitch sit down hol up hol up hol up hol up","1"
"5","something just like this","the chainsmokers and coldplay","2017","ive been reading books of old the legends and the myths achilles and his gold hercules and his gifts spidermans control and batman with his fists and clearly i dont see myself upon that list but she said whered you wanna go how much you wanna risk im not looking for somebody with some superhuman gifts some superhero some fairytale bliss just something i can turn to somebody i can kiss i want something just like this doodoodoo doodoodoo doodoodoo oh i want something just like this doodoodoo doodoo doodoodoo oh i want something just like this i want something just like this i want something just like this whered you wanna go how much you wanna risk im not looking for somebody with some superhuman gifts some superhero some fairytale bliss just something i can turn to somebody i can kiss i want something just like this oh i want something just like this oh i want something just like this","1"
"6","bad and boujee","migos featuring lil uzi vert","2017","feat lil uzi vert produced by metro boomin intro offset you know young rich niggas you know so we never really had no old money we got a whole lotta new money though hah if young metro dont trust you im gon shoot ya hook offset raindrop drop top drop top smokin on cookie in the hotbox cookie fuckin on your bitch she a thot thot thot cookin up dope in the crockpot pot we came from nothin to somethin nigga hey i dont trust nobody grip the trigger nobody call up the gang and they come and get you gang cry me a river give you a tissue hey my bitch is bad and boujee bad cookin up dope with an uzi blaow my niggas is savage ruthless savage we got 30s and 100 rounds too grrah my bitch is bad and boujee bad cookin up dope with an uzi dope my niggas is savage ruthless hey we got 30s and 100 rounds too glah verse 1 offset offset whoo whoo whoo whoo whoo rackings on rackings got backends on backends im ridin around in a coupe coupe i take your bitch right from you you bitch im a dog roof grr beat the hoe walls loose hey hop in the frog whoo skrt i tell that bitch to come comfort me comfort for me i swear these niggas is under me hey they hate and the devil keep jumpin me jumpin me bankrolls on me keep me company cash we did the most yeah pull up in ghosts yeah whoo my diamonds a choker glah holdin the fire with no holster blaow rick the ruler diamonds cooler cooler this a rollie not a muller hey dabbin on em like the usual dab magic with the brick do voodoo magic courtside with a bad bitch bitch then i send the bitch through uber go im young and rich and plus im bougie hey im not stupid so i keep the uzi rrah rackings on rackings got backends on backends so my money makin my back ache you niggas got a low acc rate acc we from the nawf yeah dat way nawf fat cookie blunt in the ashtray cookie two bitches just national smash day smash hop in the lamb have a drag race skrt i let them birds take a bath bathe brr hook offset raindrop drop top drop top smokin on cookie in the hotbox cookie fuckin on your bitch she a thot thot thot cookin up dope in the crockpot pot we came from nothin to somethin nigga hey i dont trust nobody grip the trigger nobody call up the gang and they come and get you gang cry me a river give you a tissue hey my bitch is bad and boujee bad cookin up dope with an uzi blaow my niggas is savage ruthless savage we got 30s and 100 rounds too grrah my bitch is bad and boujee bad cookin up dope with an uzi dope my niggas is savage ruthless hey we got 30s and 100 rounds too glah verse 2 quavo pour a four im droppin muddy outer space kid cudi drank introduce me to your bitch as wifey and we know she sluttin broke a brick down nutted butted now that nigga duckin dont move too fast i might shoot you huh draco bad and boujee draco im always hangin with shooters brrah might be posted somewhere secluded private still be playin with pots and pans call me quavo ratatouille run with that sack call me boobie run with it when im on stage show me boobies ay ice on my neck im the coolest ice hop out the suicide with the uzi pewpewpew i pull up i pull up i pull up i hop out with all of the drugs and the good luck skrrt im cookin im cookin im whippin im whippin into a rock up let it lock up lock up i gave her 10 racks i told her go shoppin and spend it all at the pop up ten these bitches they fuck and suck dick and they bustin for instagram get your klout up uh yeah dat way float on the track like a segway go yeah dat way i used to trap by the subway trappin yeah dat way young nigga trap with the ak rrrah yeah dat way big dyke ho get it on macy gray hey hook offset raindrop drop tops drop top smokin on cookie in the hotbox cookie fuckin on your bitch she a thot thot thot cookin up dope in the crockpot pot we came from nothin to somethin nigga hey i dont trust nobody grip the trigger nobody call up the gang and they come and get you gang cry me a river give you a tissue hey my bitch is bad and boujee bad cookin up dope with an uzi blaow my niggas is savage ruthless savage we got 30s and 100 rounds too grrah my bitch is bad and boujee bad cookin up dope with an uzi dope my niggas is savage ruthless hey we got 30s and 100 rounds too glah verse 3 lil uzi vert yeah yeah yeah yeah yeah my bitch she bad to the bone ay wait these niggas watchin i swear to god they be my clones yeah hey huh switchin my hoes like my flows what switchin my flows like my clothes like what keep on shootin that gun dont reload ooh ooh now she want fuck with my crew cause the money come all out the roof drive the rari that bitch got no roof skrt wait what kind of rari 458 damn all of these niggas they hate they hate try to hide shoot through the gate look go to strip club make it rain yeah so much money they use rakes count 100 thousand in your face in your face yeah then put 300 right in the safe met her today ooh she talk to me like she knew me yeah go to sleep in a jacuzzi yeah wakin up right to a twopiece yeah countin that paper like loose leaf yeah gettin that chicken with blue cheese yeah boy you so fake like my collar you snakin i swear to god that be that gucci aye and you know we winnin winnin yeah we is not losin try to play your song it aint move me what saw your girl once now she choosin yeah hook offset raindrop drop top drop top smokin on cookie in the hotbox cookie fuckin on your bitch she a thot thot thot cookin up dope in the crockpot pot we came from nothin to somethin nigga hey i dont trust nobody grip the trigger nobody call up the gang and they come and get you gang cry me a river give you a tissue hey my bitch is bad and boujee bad cookin up dope with an uzi blaow my niggas is savage ruthless savage we got 30s and 100 rounds too grrah my bitch is bad and boujee bad cookin up dope with an uzi dope my niggas is savage ruthless hey we got 30s and 100 rounds too glah","1"
"7","closer","the chainsmokers featuring halsey","2017","hey i was doing just fine before i met you i drink too much and thats an issue but im okay hey you tell your friends it was nice to meet them but i hope i never see them again i know it breaks your heart moved to the city in a broke down car and four years no calls now youre looking pretty in a hotel bar and i cant stop no i cant stop so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older you look as good as the day i met you i forget just why i left you i was insane stay and play that blink182 song that we beat to death in tuscon okay i know it breaks your heart moved to the city in a broke down car and four years no call now im looking pretty in a hotel bar and i cant stop no i cant stop so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older no we aint ever getting older","1"
"8","body like a back road","sam hunt","2017","got a girl from the south side got braids in her hair first time i seen her walk by man i bout fell off my chair had to get her number it took me like six weeks now me and her go way back like cadillac seats body like a back road drivin with my eyes closed i know every curve like the back of my hand doin 15 in a 30 i aint in no hurry ima take it slow just as fast as i can the way she fit in them blue jeans she dont need no belt but i can turn them inside out i dont need no help got hips like honey so thick and so sweet it aint no curves like hers on them downtown streets body like a back road drivin with my eyes closed i know every curve like the back of my hand doin 15 in a 30 i aint in no hurry ima take it slow just as fast as i can were out here in the boondocks with the breeze and the birds tangled up in the tall grass with my lips on hers on the highway to heaven headed south of her smile get there when we get there every inch is a mile body like a back road drivin with my eyes closed i know every curve like the back of my hand doin 15 in a 30 i aint in no hurry ima take it slow just as fast as i can ima take it slow as fast as i can body like a back road drivin with my eyes closed i know every curve like the back of my hand","1"
