Rank,Song,Artist,Year,Lyrics,Source,Total Words,Unique Words
53,exchange,bryson tiller,2016,this what happen when i think about you i get in my feelings yeah i start reminiscing yeah next time around fuck i want it to be different yeah waiting on a sign guess its time for a different prayer lord please save her for me do this one favor for me i had to change my play of ways got way to complicated for me i hope shes waiting for me everywhere she go they playin my song thats why i say the things that i say that way i know you cant ignore me but so so so gimme all of you in exchange for me just give me all of you in exchange for me for me break it down yeah yes sir check we use to lay up and then stay up have sex and then blow dank i shouldnt have played no games with you just leveled up my rank last time i saw you we aint speak that was strange guess its nothing i can do man its true exs change yeah guess you changed for the better better i know you know how to make me jealous i was never loyal let you tell it yo but im ready to fix it if you ready baby but so so1 so gimme all of you in exchange for me just give me all of you in exchange for me for me for real shawty yeah i know yeah is you at 2 keys or tin roof turn up with young tiller we just getting loose maybe im low key feelin you dont be cynical ima fuck you over wanna fuck you over then again the truth is i aint really here to start problems girl i swear to god them hoes cant never say they got him know how bad you wanna tell em dont try him i dont wanna tell him lets surprise him i dont wanna get into it why you stressin him ive been drivin back and fourth from louisville to lexington mileage on the whip got your ass on my grip college make you wanna strip for them dollars nah girl i got a job for you swear to god i can do a lot for you saw you strollin through the campus i had to stop for you i was scrollin through the gram girl i had to follow you say wassup witchu you got my soul,1,408,192
54,679,fetty wap featuring remy boyz,2016, feat monty intro fetty wap yeaaah baby 17 ay ay look verse 1 fetty wap baby girl youre so damn fine though im tryna know if i could hit it from behind though im sipping on you like some fine wine though and when its over i press rewind though ay you talking bands girl i got it benjamins all in my pocket i traded in my trues for some robins he playing batman fettys gon rob him ay i got a glock in my rari ay 17 shots no 38 i got a glock in my rari 17 shots no 38 hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby verse 2 montana bucks tell me what you see is it money or its me i smoke twenty smell the weed i got hunnies in my v they like monty can you be my baby daddy im like yeah i got robins on my jeans you see the wings on every pair all you see is remy boyz you know my niggas everywhere and if somebody got a problem we could meet up anywhere now go say something dont you niggas play dumb you know where we came from you dont want sauce no a1 hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby verse 3 pdice she a cutie and she fine make me wanna make her mine she aint nothing like them bimbos if you like it we can swerve we can light and stain up here blowing pluck it out the window we get playing press rewind got her singing every time take a high note for me girlfriend got my city looking rude i aint diddy i aint loon but i think i need a girlfriend she feeling great as im talking to her she a remygirl so im gon pursue her i brought a lot of loud lot of remy to sip on thousand dollars when i get my tip on im off her asked her if her fatty real she said thats all her got her with the happy feel im bouta spoil her got her with the happy feel im bouta spoil her oh my hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind just to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby outro fetty wap zoowap monty zoowap dicey yeaah baby remy boyz yeaah yeaaah,1,513,196
55,oui,jeremih,2016,ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh i think about all the time think you may need all of mine hate to say you know that love is blind im bout to see ill close my eyes truth is they cant see you in here though most of them need dollar signs to make every day your birthday and every night your valentine if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i see my baby know where my baby go i go its no better feeling you know when im next to her for sure oh how can they hate gotta get this off my chest oh girl i think i love you i swear your shit look best friends they know they hate they dont get the best ah yea i think i love you oh baby maybe if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oohh da du du du du oohh da du du du du oohh da du du du du oohh da du du du du if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i,1,414,106
56,hands to myself,selena gomez,2016,cant keep my hands to myself no matter how hard im trying to i want you all to myself your metaphorical gin and juice so come on give me a taste of what its like to be next to you wont let one drop go to waste your metaphorical gin and juice oh cause all of the downs and the uppers keep making love to each other and im trying trying im trying trying all of the downs and the uppers keep making love to each other and im trying trying im trying but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself the doctors say youre no good but people say what they wanna say and you should know if i could id breathe you in every single day oh cause all of the downs and the uppers keep making love to each other and im trying trying im trying trying all of the downs and the uppers keep making love to each other and im trying trying im trying but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself cant keep my hands to myself i want it all no nothing else cant keep my hands to myself give me your all and nothing else oh i i want it all i want it all i want it all ooh cant keep my hands to myself i mean i could but why would i want to my hands to myself cant keep my hands to myself my hands to myself cant keep keep my hands to myself i want it all no nothing else cant keep my hands to myself give me your all and nothing else cant keep my hands to myself,1,309,74
57,2 phones,kevin gates,2016,hello what the deal bet i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin button start the foreign oh my god im gorgeous i just put the key inside my pocket park it might not get to see this a new ferrari man in the mirror how you choose to bother someone said they callin i dont feel like talkin everything is different returned the way i bought it phone be interrupting me while im recordin phone be making women feel they unimportant call my dog he say its all the way retarded keep the cause i am not using the foreman kitchen i just finished up new performance hater wish you well i got cliental i just got it off the scale i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin there they go again one of my lil friends they dont give a damn how a nigga been all they wanna know is what i got to give how much did i spend what i got to lend what i did and what i didnt do for them brick comin in somewhere on the rim section doin numbers nowhere by a gym rappin bottles spin im supplin 10 jumpin out a honda i just got it in askin what i cop none of your concern one day you gone learn what you tryna get everything on sale goin out of biz partners up in jail gotta feed the kids juggin round the city you know what it is bread winner business put that on the wrist i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin ring ring ringin man find me balling hard come from grinding hard getting calling cards from your barbie doll when she round me she know im her bodyguard money callin for me baby girl im sorry you just side yelling you not that important weight shape her pin you to the carpet smell like tarter imma put you in the water conversation cause a lot of chips she dont really get a lot of this engagin where im gazin at her hips and aint nobody makin no attempts amazing clip hanging slanging dick maybe we can make it takin trips maybe i was thinkin too impatient phone ringing hold up what it is i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin,1,753,225
58,starboy,the weeknd featuring daft punk,2016,im tryna put you in the worst mood ah p1 cleaner than your church shoes ah milli point two just to hurt you ah all red lamb just to tease you ah none of these toys on lease too ah made your whole year in a week too yah main bitch out your league too ah side bitch out of your league too ah house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy every day a nigga try to test me ah every day a nigga try to end me ah pull off in that roadster sv ah pockets overweight getting hefty ah coming for the king thats a far cry i i come alive in the fall time i the competition i dont ever listen im in the blue moon song bumping new edition house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy let a nigga brad pitt legend of the fall took the year like a bandit by my ma a crib and a brand new wagon now she hit the grocery shop looking lavish star trek groove in that wraith of khan girls get loose when they hear this song 100 on the dash get me close to god we dont pray for love we just pray for cars house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy,1,453,168
59,for free,dj khaled featuring drake,2016,feat drake intro dj khaled would you fuck me for free another one we the best music major key dj khaled verse 1 drake i go on and on cant understand how i lasted so long i must have the superpowers last 223 thousand hours its cause im off of cc and im off the hennessy and like your boy from compton said you know this dick aint free i got girls that i shoulda made pay for it got girls that i should made wait for it got girls thatll cancel a flight back home stay another day for it you got attitude on na na and your pussy on agua and your stomach on flat flat and your ass on whats that and yeah i need it all right now last year i had drama girl not right now i was never gon chat what we talkin about you the only one i know could fit it all in her man hook drake i always wonder if you ask yourself is it just me is it just me or is this sex so good i shouldnt have to fuck for free is it just me is it just me or is this sex so good i shouldnt have to verse 2 drake fuck for free i know you workin day and night to get a college degree bet nobody that youve been with even know you a freak right you know you only do that with me right yeah double checkin on you you know i never put the pressure on you you know that you make your own mind up you knew what it was when you signed up now you gotta run it up i be out of words tryna sum it up girl you throw it back like one love even let me slash on the tour bus yeah i talk to her but she dont do enough even though you in the hood im still pullin up dip dip straight to your doorstep this the real thing can you feel the force yet hook drake i always wonder if you ask yourself is it just me is it just me or is this sex so good i shouldnt have to fuck for free is it just me yeah is it just me is this sex so good i shouldnt have to would you fuck me for free dj khaled another one they dont want me to have another anthem so i made sure i got another anthem its we the best ovo summers ours it always has been dont ever play yourself one time for future the prince one time for 40 one time for drake another one bless up,1,456,187
60,never be like you,flume featuring kai,2016,feat kai verse 1 what i would do to take away this fear of being loved allegiance to the pain now im fucked up and im missing ya never be like you i would give anything to change this fickleminded heart that loves fake shiny things now im fucked up and im missing ya hell never be like you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you verse 2 how do i make you wanna stay hate sleeping on my own missing the way you taste now im fucked up and im missing ya hell never be like you stop looking at me with those eyes like i could disappear and you wouldnt care why now im fucked up and im missing ya hell never be like you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you bridge im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you outro baby baby please believe me cmon take it easy please dont ever leave me hell never be like you,1,380,103
61,in the night,the weeknd,2016,all alone she was living in a world without an end or beginning babygirl was living life for the feeling but i dont mind i dont mind and all the wrongs she committed she was numb and she was so codependent she was young and all she had was the city but i dont mind i dont mind and i know that shes capable of anything its riveting but when you wake up shes always gone gone gone in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand he sang a song when he did it he was cold and he was so unforgiving now she dances to the song on the minute yeah all the time all the time it make her weak when she hear it and it got her on her knees like religion she was young and she was forced to be a woman yeah all the time all the time and i know that shes capable of anything its riveting but when you wake up shes always gone gone gone in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand i dont think you understand in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand,1,320,92
62,me too,meghan trainor,2016,ow whos that sexy thang i see over there thats me standin in the mirror whats that icy thang hangin round my neck thats gold show me some respect oh ah i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else nuh uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too i walk in like a dime piece i go straight to vip i never pay for my drinks my entourage behind me my lifes a movie tom cruise so bless me baby achoo and even if they tried to they cant do it like i do i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else nuh uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too ow turn the bass up turn the bass up ow turn the bass up lets go i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else no uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too,1,335,87
63,exs ohs,elle king,2016,well i had me a boy turned him into a man i showed him all the things that he didnt understand whoa and then i let him go now theres one in california whos been cursing my name cause i found me a better lover in the uk hey hey until i made my getaway one two three they gonna run back to me cause im the best baby that they never gotta keep one two three they gonna run back to me they always wanna come but they never wanna leave exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs i had a summer lover down in new orleans kept him warm in the winter left him frozen in the spring my my how the seasons go by i get high and i love to get low so the hearts keep breaking and the heads just roll you know thats how the story goes one two three they gonna run back to me cause im the best baby that they never gotta keep one two three they gonna run back to me they always wanna come but they never wanna leave exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go my exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs one two three they gonna run back to me climbing over mountains and asailing over seas one two three they gonna run back to me they always wanna come but they never wanna leave my exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs,1,338,103
64,die a happy man,thomas rhett,2016,baby last night was hands down one of the best nights that ive had no doubt between the bottle of wine and the look in your eyes and the marvin gaye then we danced in the dark under september stars in the pourin rain and i know that i cant ever tell you enough that all i need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man happy man baby hmmmm baby and that red dress brings me to my knees oh but that black dress makes it hard to breathe youre a saint youre a goddess the cutest the hottest the masterpiece its too good to be true nothing better than you in my wildest dreams and i know that i cant ever tell you enough that all need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man yeah i dont need no vacation no fancy destination baby youre my great escape we could stay at home listen to the radio or dance around the fireplace and if i never get to build my mansion in georgia or drive a sports car up the coast of california well if all i got is your hand in my hand baby i could die a happy man baby i could die a happy man oh i could die a happy man you know i could girl i could die i could die a happy man hmmmm,1,309,122
65,white iverson,post malone,2016,produced by fki intro double ot im a new three hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay verse 1 i got me some braids and i got me some hoes started rockin the sleeve i cant ball with no jordans you know how i do it concords on my toes this shit is hard i aint rich yet but you know i aint broke i so if i see it i like it buy that from the store i im with some white girls and they lovin the coca like theyre ot double ot like im kd smokin og and you know me in my 23s and my gold teeth bitch im smiling bet you see me from the nosebleeds im the new 3 and i change out to my new 3s prehook white iverson when i started ballin i was young you gon think about me when im gone i need that money like the ring i never won i won hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay verse 2 cigarettes and a headband commas commas in my head man slumped over like a dead man red and black bout my bread man im the answer never question lace up learn a lesson bitch im saucin i do this often dont do no talkin my options right when i walk in jump all them jordans im ballin money jumpin like im davis from new orleans or bitch im harden i dont miss nothin fuck practice this shit just happens know yall cant stand it i have it ill never pass it i work my magic high average ball on these bastards it makes me happy its tragic i make it happen and all yall shaqtin prehook white iverson when i started ballin i was young you gon think about me when im gone i need that money like the ring i never won i won hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay,1,440,160
66,close,nick jonas featuring tove lo,2016,feat tove lo produced by mattman robin verse 1 nick jonas oh damn oh damn oh damn im so perplexed with just one breath im locked in oh damn oh damn oh damn im so perplexed on that its almost shocking i know i know you know youre scared your heart your mind your soul your body they wont they wont they wont be careful but i guess that you dont know me prechorus nick jonas cause if i want you then i want you babe aint going backwards wont ask for space cause space was just a word made up by someone whos afraid to get too chorus nick jonas close ooh oh so close ooh i want you close ooh cause space was just a word made up by someone whos afraid to get close ooh oh so close ooh i want you close ooh oh i want you close that close aint close enough no verse 2 tove lo oh man oh man i am not really known for ever being speechless but now but now somehow my words roll off my tongue right onto your lips oh im keeping cool while you keep smiling saying all the things im thinking oh man oh man i am like you so i will prove from what youre feeling prechorus tove lo cause if i want you then i want you babe aint going backwards wont ask for space cause space is just a word made up by someone whos afraid to get too chorus both close ooh oh so close ooh i want you close ooh cause space was just a word made up by someone whos afraid to get close ooh oh so close ooh i want you close ooh oh i want you close that close aint close enough no prechorus nick jonas both cause if i want you then i want you babe aint going backwards wont ask for space cause space was just a word made up by someone whos afraid to get too close chorus both close ooh oh so close ooh i want you close ooh cause space was just a word made up by someone whos afraid to get close ooh oh so close ooh i want you close ooh oh i want you close that close aint close enough no oh i want you close that close aint close enough no,1,401,110
67,unsteady,x ambassadors,2016,hold hold on hold onto me cause im a little unsteady a little unsteady hold hold on hold onto me cause im a little unsteady a little unsteady mama come here approach appear daddy im alone cause this house dont feel like home if you love me dont let go whoa if you love me dont let go hold hold on hold onto me cause im a little unsteady a little unsteady hold hold on hold onto me cause im a little unsteady a little unsteady mother i know that youre tired of being alone dad i know youre trying to fight when you feel like flying but if you love me dont let go whoa if you love me dont let go hold hold on hold onto me cause im a little unsteady a little unsteady hold hold on hold onto me cause im a little unsteady a little unsteady hold hold on hold onto me cause im a little unsteady a little unsteady,1,165,43
68,sucker for pain,lil wayne wiz khalifa and imagine dragons with logic and ty dolla ign featuring x ambassadors,2016,i torture you take my hand through the flames i torture you im a slave to your games im just a sucker for pain i wanna chain you up i wanna tie you down im just a sucker for pain im a sucker for pain i got the squad tatted on me from my neck to my ankles pressure from the man got us all in rebellion we gon go to war yeah without failure do it for the fam dog ten toes down dog love and the loyalty thats what we stand for alienated by society all this pressure give me anxiety walk slow through the fire like who gon try us feeling the world go against us so we put the world on our shoulders i torture you take my hand through the flames i torture you im a slave to your games im just a sucker for pain i wanna chain you up i wanna tie you down im just a sucker for pain i been at it with my homies it dont matter you dont know me i been rollin with my team we the illest on the scene i been riding round the city with my squad i been riding round the city with my squad we just posted getting crazy living like this is so amazing hold up take a step back when we roll up cause i know what we been loyal we been fam we the ones you trust in wont hesitate to go straight to your head like a concussion i know i been bustin no discussion for my family no hesitation through my scope i see my enemy like whats up hold up we finna reload up yes i reload up i know what up i know what up i torture you take my hand through the flames i torture you im a slave to your games im just a sucker for pain i wanna chain you up i wanna tie you down im just a sucker for pain im devoted to destruction a full dosage of detrimental dysfunction im dying slow but the devil tryna rush me see im a fool for pain im a dummy might cut my head off right after i slit my throat tongue kiss a shark got jealous bitches up in the boat eating peanut butter and jelly fishes on toast and if i get stung i get stoked might choke like i chewed a chunk of charcoal naked in the north pole thats why my heart cold full of sorrow the lost soul and only lord knows when im coming to the crossroads so i dont fear shit but tomorrow and im a sucker for pain it aint nothing but pain you just fuckin complain you aint tough as you claim just stay up in your lane just dont fuck with lil wayne imma jump from a plane or stand in front of a train cause im a sucker for pain used to doing bad now we feel like we just now getting it aint got no other way so we started and finished it no pain no gain never stand down made our own way never going slow we pick up the pace this is what we wanted from a young age no emotion thats what business is lord have mercy on the witnesses i torture you take my hand through the flames i torture you im just a sucker for pain more pain got me begging begging begging begging begging for more pain got me begging begging begging begging begging for more pain got me begging begging begging begging begging for more pain got me begging,1,615,224
69,down in the dm,yo gotti featuring nicki minaj,2016,i see your girl post her bm so i hit her in her dm all eyes yeah i seeem yeah this your man i hate to be him whoop it goes down in the dm it go down it go down in the dm it go down it go down it goes down in the dm it go down it go down in the dm it go down it go down i tell her snapchat me that pussy or facetime me that pussy if its cool whoo boy my dm poppin dm poppin my dm just caught a body i got celebs in this dm they breaking news if they see them but naw we dont do no talking we dont do no talking we see sucker shit too often fuck niqqa i see your girl post her bm so i hit her in her dm all eyes yeah i seeem yeah this your man i hate to be him whoop it goes down in the dm it go down it go down in the dm it go down it go down it goes down in the dm it go down it go down in the dm it go down it go down i tell her dont you hate when you get screenshot petty bitch that dm wasnt for everybody rules i love tha gram i love tha gram i love tha gram im addicted to it i know i am i know i am and i just followed angela simmons boy i got a crush on angela simmons they like damn gotti you bold fuck it im a let the world know goals i see your girl post her bm so i hit her in her dm all eyes yeah i seeem yeah this your man i hate to be him whoop it goes down in the dm it go down it go down in the dm it go down it go down it goes down in the dm it go down it go down in the dm it go down it go down i tell her snapchat me that pussy snapchat me that pussy if its cool i see your girl post her bm so i hit her in her dm all eyes yeah i seeem yeah this your man i hate to be him whoop it goes down in the dm it go down it go down in the dm it go down it go down it goes down in the dm it go down it go down in the dm it go down it go down i tell her,1,433,94
70,luv,tory lanez,2016,we all sip the henny for the day baby bodmon we no stray baby oops i done fell for your way baby i know girl but everyone falls and i know from the first time the first time i seen your love you got me baby even though girl i know that i will fall for you you got to know that everyone falls oops i done fell so deep baby oops i want you for me baby oops i want you for me baby oops i done fell so deep cause everyone falls in love sometimes i dont know bout you but it aint a crime if you let me love you love you love you for long time baby if you let me touch you and if you let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you we all sip that henny for the day baby come my my way baby top down on the highway baby and if you let me love you shawty she dont even got a visa out of town one night teaser need to tell them other niggas ease up im falling but everyone falls and i know from the first time the first time i seen your love you got me baby even though girl i know that i will fall for you you got to know that everyone falls oops i done fell too deep baby oops i think you got me baby oops i want you for me baby im fallin but but everyone falls everyone falls in love sometimes i dont know bout you but it aint a crime if you let me love you love you love you for long time baby if you let me touch you and if you let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm and if you want me and if you let me love you now its true what i need is someone for love me right now its true im a freak its time to love you now and if you want me im falling everyone falls in love sometimes i dont know bout you but it aint a crime if you let me love you love you love you for long time baby if you let me touch you and if you let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me love you yeah,1,516,94
71,sorry,beyoncAC,2016,NA,,0,0
72,cant feel my face,the weeknd,2016,NA,,0,0
73,hymn for the weekend,coldplay,2016,drink from me drink from me ohah shoot across the sky pour on a symphony so high so high you said that we shoot across the sky drink from me drink from me ah ohah ohah that we shoot across the sky now im feeling drunk and high symphony so high so high that we shoot across the sky oh angel sent from up above you know you make my world light up when i was down when i was hurt you came to lift me up life is a drink and loves a drug oh now i think i must be miles up when i was a river dried up you came to rain a flood you said drink from me drink from me when i was so thirsty pour on a symphony now i just cant get enough put your wings on me wings on me when i was so heavy pour on a symphony when im low low low low ah ohah ohah got me feeling drunk and high so high so high ohah ohah ohah now im feeling drunk and high so high so high wooh woohoohoohoohooh woohooh oohooh oh angel sent from up above i feel you coursing through my blood life is a drink and your loves about to make the stars come out put your wings on me wings on me when i was so heavy pour on a symphony when im low low low low ah ohah ohah got me feeling drunk and high so high so high ohah ohah ohah now im feeling drunk and high so high so high ah ohah ohah la la la la la la la so high so high ah ohah ohah now im feeling drunk and high so high so high that we shoot across the sky that we shoot across the that we shoot across the sky that we shoot across the that we shoot across the sky that we shoot across the that we shoot across the sky that we shoot across the,1,340,78
74,say it,tory lanez,2016,just keepin it honest you wouldnt want a young nigga if i wasnt whippin this foreign thats why i came back top down you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it always want you to prove it you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it so you gon need to more than just prove it and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know but im not sure that you want me but i now know you know i know that this aint right cause you want me cause i got dough ever since you walked in inside my foreign slam my door you know i know that you been on it but i been on it on the low so let a young nigga get down on it yeah love when you spin round on it yeah even though a young nigga want you shawty i promise the truth and when i come down on it yeah you love when im down on it yeah fuck around spend time on it yeah thats why i came back top down you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it always want you to prove it you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it so you gon need to more than just prove it and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know gots to break it down for you to let you know you know its things you know im down for aint goin act like you aint bout my door you know aint open girl you know im down for take your time to find you out wont hesitate to take the time to waste no baby bringin out the foreign out to play you know its things it takes so let a young nigga get down on it yeah love when you spin round on it yeah even though a young nigga want you and when i come down on it yeah you love when im down on it yeah fuck around spend time on it yeah thats why i came back top down you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it always want you to prove it you gon have to do more than just say it you gon have to do less when you do it lil mama you know i show it so you gon need to more than just prove it and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know say it baby do it baby show it baby prove it baby say it baby do it baby show it baby prove it baby all im tryin say i just wanna see your body move in different ways all i wanna do is come close to you you make me come thru i get so close to you,1,621,117
75,antidote,travis scott,2016,dont you open up that window dont you let out that antidote poppin pills is all we know in the hills is all we know hollywood dont go through the front door through the back its lowkey at the night show so dont you open up that window dont you let out that antidote party on a sunday that was fun do it all again on monday one more time spent a check on a weekend oh my god i might do it all again thats boss shit i just hit a three peat fucked three hoes i met this week robert horry i dont do no old hoes oh no no my nigga thats a nono straight up she just want the coco cocaina i just want dinero who that at the front door if its the feds ohnonono dont let em in shhh dont you open up that window dont you let out that antidote poppin pills is all we know in the hills is all we know hollywood dont go through the front door in the back its lowkey at the night show at the night show at the night show higher at the night show at the night show get lit my nigga at the night show anything can happen at the night show everything can happen at the night show at the night show anything can happen at the night show at the night show your bitch not at home she at the night show fuckin right ho had to catch a flight for the night show lets get piped though bottles got us right though we aint sippin light though i aint got no type though only got one night though we can do it twice though its lit at the night show at the night show at the night show at the night show at the night show at the night show at the night show anything can happen at the night show stackin up day to day young nigga you know you gotta go get it go get it my nigga they hatin they stinkin they waitin dont be mistaken we dyin they stayin lord im on fire they think that im satan callin me crazy on different occasions kickin the cameraman off of my stages cause i dont like how he snappin my angles im overboard and im overimpatient over my niggas and these kids my ages dealin with mo shit thats more complicated like these two bitches that might be related htown you got one and you bun b like a number one its late night got a late show if you wanna roll i got a place where poppin pills is all we know in the hills is all we know hollywood dont go through the front door through the back its lowkey at the night show so dont you open up that window dont you let out that antidote,1,491,169
